obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
30.06.2012–30.06.2012,BISOL Energija – DINAMIČNA Samooskrba,,,,,naslov
30.06.2012–30.06.2012,Električna energija – blok 3,2.46,kWh,0.040772,0.1003,energija
30.06.2012–30.06.2012,Električna energija – blok 4,3.348,kWh,0.043638,0.1461,energija
30.06.2012–30.06.2012,Električna energija – blok 5,2.107,kWh,0.038259,0.08061,energija
30.06.2012–30.06.2012,Skupaj električna energija,,,,0.32701,skupaj
30.06.2012–30.06.2012,Dogovorjena moč za časovni blok 2,3.0,kW,1.0923,3.2769,omreznina
30.06.2012–30.06.2012,Dogovorjena moč za časovni blok 3,3.0,kW,0.289033,0.8671,omreznina
30.06.2012–30.06.2012,Dogovorjena moč za časovni blok 4,3.0,kW,0.024367,0.0731,omreznina
30.06.2012–30.06.2012,Dogovorjena moč za časovni blok 5,3.0,kW,0.002433,0.0073,omreznina
30.06.2012–30.06.2012,Prevzeta EE za časovni blok 3,2.46,kWh,0.01717,0.04224,omreznina
30.06.2012–30.06.2012,Prevzeta EE za časovni blok 4,3.348,kWh,0.01805,0.06043,omreznina
30.06.2012–30.06.2012,Prevzeta EE za časovni blok 5,2.107,kWh,0.01299,0.02737,omreznina
30.06.2012–30.06.2012,Skupaj omrežnina za elektroenergetski sistem,,,,4.35444,skupaj
30.06.2012–30.06.2012,Prispevek za delovanje operaterja trga,7.915,kWh,0.00013,0.00103,prispevki
30.06.2012–30.06.2012,Prispevek za energetsko učinkovitost,7.915,kWh,0.0008,0.00633,prispevki
30.06.2012–30.06.2012,Prispevek za SPTE in OVE,3.0,kW,0.38781,1.16343,prispevki
30.06.2012–30.06.2012,Skupaj prispevki in ostale dajatve,,,,1.17079,skupaj
30.06.2012–30.06.2012,Trošarina,7.915,kWh,0.00153,0.01211,trosarina
30.06.2012–30.06.2012,Skupaj trošarina,,,,0.01211,skupaj
30.06.2012–30.06.2012,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
30.06.2012–30.06.2012,Pavšalni strošek poslovanja,1.0,kos,1.63,1.63,poslovanje
30.06.2012–30.06.2012,Obračun storitev pogodbenega računa,,,,1.63,skupaj
30.06.2012–30.06.2012,Skupaj brez DDV,,,,7.49434,skupaj
30.06.2012–30.06.2012,DDV 22%,,,,1.64875,ddv
30.06.2012–30.06.2012,Skupaj z DDV,,,,9.1431,skupaj
30.06.2012–30.06.2012,ZA PLAČILO,,,,9.1431,za_placilo
30.06.2012–30.06.2012,Paket 'DINAMIČNA Samooskrba' predpostavlja 15-min meritve; brez njih se uporabi nadomestna cena (ET).,,,,,opozorilo
30.06.2012–30.06.2012,"Paket 'DINAMIČNA Samooskrba' velja šele od 2026-01-01, obračunavaš pa 2012-06-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
01.07.2012–31.07.2012,BISOL Energija – DINAMIČNA Samooskrba,,,,,naslov
01.07.2012–31.07.2012,Električna energija – blok 2,206.876,kWh,0.058008,12.00037,energija
01.07.2012–31.07.2012,Električna energija – blok 3,191.382,kWh,0.06489,12.41886,energija
01.07.2012–31.07.2012,Električna energija – blok 4,159.019,kWh,0.057769,9.1863,energija
01.07.2012–31.07.2012,Električna energija – blok 5,46.122,kWh,0.052359,2.4149,energija
01.07.2012–31.07.2012,Skupaj električna energija,,,,36.02043,skupaj
01.07.2012–31.07.2012,Dogovorjena moč za časovni blok 2,3.0,kW,1.0923,3.2769,omreznina
