obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
2012-06-30_2013-06-30,BISOL Energija – DINAMIČNA Samooskrba,,,,,naslov
2012-06-30_2013-06-30,Električna energija – blok 3,1187.181,kWh,0.05095,60.48724,energija
2012-06-30_2013-06-30,Električna energija – blok 4,918.656,kWh,0.049276,45.26796,energija
2012-06-30_2013-06-30,Električna energija – blok 5,275.351,kWh,0.048234,13.28122,energija
2012-06-30_2013-06-30,Skupaj električna energija,,,,184.72041,skupaj
2012-06-30_2013-06-30,Dogovorjena moč za časovni blok 2,42.0,kW,1.0923,45.8766,omreznina
2012-06-30_2013-06-30,Dogovorjena moč za časovni blok 3,42.0,kW,0.289033,12.1394,omreznina
2012-06-30_2013-06-30,Dogovorjena moč za časovni blok 4,42.0,kW,0.024367,1.0234,omreznina
2012-06-30_2013-06-30,Dogovorjena moč za časovni blok 5,30.0,kW,0.002433,0.073,omreznina
2012-06-30_2013-06-30,Prevzeta EE za časovni blok 3,1187.181,kWh,0.01717,20.3839,omreznina
2012-06-30_2013-06-30,Prevzeta EE za časovni blok 4,918.656,kWh,0.01805,16.58173,omreznina
2012-06-30_2013-06-30,Prevzeta EE za časovni blok 5,275.351,kWh,0.01299,3.57682,omreznina
2012-06-30_2013-06-30,Skupaj omrežnina za elektroenergetski sistem,,,,168.36229,skupaj
2012-06-30_2013-06-30,Prispevek za delovanje operaterja trga,3688.608,kWh,0.00013,0.47952,prispevki
2012-06-30_2013-06-30,Prispevek za energetsko učinkovitost,3688.608,kWh,0.0008,2.95087,prispevki
2012-06-30_2013-06-30,Prispevek za SPTE in OVE,42.0,kW,0.38781,16.28802,prispevki
2012-06-30_2013-06-30,Skupaj prispevki in ostale dajatve,,,,19.7184,skupaj
2012-06-30_2013-06-30,Trošarina,3688.608,kWh,0.00153,5.64356,trosarina
2012-06-30_2013-06-30,Skupaj trošarina,,,,5.64356,skupaj
2012-06-30_2013-06-30,100% Jedrska energija,14.0,kos,0.0,0.0,poslovanje
2012-06-30_2013-06-30,Pavšalni strošek poslovanja,14.0,kos,1.63,22.82,poslovanje
2012-06-30_2013-06-30,Obračun storitev pogodbenega računa,,,,22.82,skupaj
2012-06-30_2013-06-30,Skupaj brez DDV,,,,401.26447,skupaj
2012-06-30_2013-06-30,DDV 22%,,,,88.27819,ddv
2012-06-30_2013-06-30,Skupaj z DDV,,,,489.54267,skupaj
2012-06-30_2013-06-30,ZA PLAČILO,,,,467.36098,za_placilo
2012-06-30_2013-06-30,Paket 'DINAMIČNA Samooskrba' predpostavlja 15-min meritve; brez njih se uporabi nadomestna cena (ET).,,,,,opozorilo
2012-06-30_2013-06-30,"Paket 'DINAMIČNA Samooskrba' velja šele od 2026-01-01, obračunavaš pa 2012-06-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
2012-06-30_2013-06-30,Električna energija – blok 2,1121.522,kWh,0.050372,56.49377,energija
2012-06-30_2013-06-30,Prevzeta EE za časovni blok 2,1121.522,kWh,0.01998,22.408,omreznina
2012-06-30_2013-06-30,Presežna moč,,,,10.06486,omreznina
