k,uid,cluster_id,n_cluster,dqn_cost,baseline_cost,milp_cost,imp_dqn_%,imp_milp_%,gap_milp_%,frac_theor_%
1,5,0,300,989.7230897945215,1119.503154362383,888.107038683006,11.6,20.7,11.4,56.1
1,21,0,300,1480.5279654787373,1882.8477177863747,1231.5303418406575,21.4,34.6,20.2,61.8
1,27,0,300,1122.8617529755306,1323.0010874224736,979.696445843159,15.1,25.9,14.6,58.3
1,29,0,300,1028.9895214038766,1265.1132455899785,880.640236513889,18.7,30.4,16.8,61.4
1,65,0,300,1156.0475432907463,1367.0340510255007,986.1581654282367,15.4,27.9,17.2,55.4
1,66,0,300,884.0472115886356,1000.1869610068992,789.5802587225903,11.6,21.1,12.0,55.1
1,67,0,300,1066.7115008355509,1265.488636326595,849.9207709355029,15.7,32.8,25.5,47.8
1,172,0,300,1012.4475856782869,1187.6754924364218,898.0786657928596,14.8,24.4,12.7,60.5
1,179,0,300,1017.8822522603804,1183.5365035327197,900.7814434327767,14.0,23.9,13.0,58.6
1,204,0,300,988.0980140187856,1167.4554743006277,867.8161899771889,15.4,25.7,13.9,59.9
2,5,1,183,1061.6425195431073,1119.503154362383,888.107038683006,5.2,20.7,19.5,25.0
2,21,0,117,1741.4361498305964,1882.8477177863747,1231.5303418406575,7.5,34.6,41.4,21.7
2,27,1,183,1231.1125688415052,1323.0010874224736,979.696445843159,6.9,25.9,25.7,26.8
2,29,1,183,1138.721598153535,1265.1132455899785,880.640236513889,10.0,30.4,29.3,32.9
2,65,1,183,1243.0226358426276,1367.0340510255007,986.1581654282367,9.1,27.9,26.0,32.6
2,66,1,183,893.3199636794396,1000.1869610068992,789.5802587225903,10.7,21.1,13.1,50.7
2,67,0,117,1096.5731796433395,1265.488636326595,849.9207709355029,13.3,32.8,29.0,40.6
2,172,1,183,1110.9329746664544,1187.6754924364218,898.0786657928596,6.5,24.4,23.7,26.5
2,179,1,183,1102.4547742851496,1183.5365035327197,900.7814434327767,6.9,23.9,22.4,28.7
2,204,1,183,1020.6573031378852,1167.4554743006277,867.8161899771889,12.6,25.7,17.6,49.0
5,5,2,60,998.4330810726194,1119.503154362383,888.107038683006,10.8,20.7,12.4,52.3
5,21,4,66,1810.4928829893843,1882.8477177863747,1231.5303418406575,3.8,34.6,47.0,11.1
5,27,2,60,1133.0440455826204,1323.0010874224736,979.696445843159,14.4,25.9,15.7,55.3
5,29,3,78,1030.9517787088785,1265.1132455899785,880.640236513889,18.5,30.4,17.1,60.9
5,65,2,60,1153.613256332146,1367.0340510255007,986.1581654282367,15.6,27.9,17.0,56.0
5,66,3,78,877.871497356443,1000.1869610068992,789.5802587225903,12.2,21.1,11.2,58.1
5,67,4,66,1174.4090623484171,1265.488636326595,849.9207709355029,7.2,32.8,38.2,21.9
5,172,1,79,1188.054172635322,1187.6754924364218,898.0786657928596,-0.0,24.4,32.3,-0.1
5,179,3,78,998.4640085949866,1183.5365035327197,900.7814434327767,15.6,23.9,10.8,65.5
5,204,1,79,1167.9374415297273,1167.4554743006277,867.8161899771889,-0.0,25.7,34.6,-0.2
10,5,0,42,1114.216621888589,1119.503154362383,888.107038683006,0.5,20.7,25.5,2.3
10,21,6,37,1558.0845176491198,1882.8477177863747,1231.5303418406575,17.2,34.6,26.5,49.9
10,27,0,42,1314.7821403422788,1323.0010874224736,979.696445843159,0.6,25.9,34.2,2.4
10,29,5,62,1079.9244726592615,1265.1132455899785,880.640236513889,14.6,30.4,22.6,48.2
10,65,2,31,1087.9224895042723,1367.0340510255007,986.1581654282367,20.4,27.9,10.3,73.3
10,66,5,62,919.0944260864283,1000.1869610068992,789.5802587225903,8.1,21.1,16.4,38.5
10,67,6,37,1155.670623301621,1265.488636326595,849.9207709355029,8.7,32.8,36.0,26.4
10,172,1,43,1098.9546910975528,1187.6754924364218,898.0786657928596,7.5,24.4,22.4,30.6
10,179,5,62,1067.7308591699634,1183.5365035327197,900.7814434327767,9.8,23.9,18.5,41.0
10,204,1,43,1044.7194164349733,1167.4554743006277,867.8161899771889,10.5,25.7,20.4,41.0
15,5,0,22,971.7076100631327,1119.503154362383,888.107038683006,13.2,20.7,9.4,63.9
15,21,6,22,1464.578078015441,1882.8477177863747,1231.5303418406575,22.2,34.6,18.9,64.2
15,27,0,22,1104.2666322865423,1323.0010874224736,979.696445843159,16.5,25.9,12.7,63.7
15,29,11,22,1115.8546279747366,1265.1132455899785,880.640236513889,11.8,30.4,26.7,38.8
15,65,2,27,1264.3421660965164,1367.0340510255007,986.1581654282367,7.5,27.9,28.2,27.0
15,66,5,48,993.5121500479023,1000.1869610068992,789.5802587225903,0.7,21.1,25.8,3.2
15,67,6,22,1014.5435967844745,1265.488636326595,849.9207709355029,19.8,32.8,19.4,60.4
15,172,1,32,1059.9987070767684,1187.6754924364218,898.0786657928596,10.8,24.4,18.0,44.1
15,179,11,22,1070.3412897228575,1183.5365035327197,900.7814434327767,9.6,23.9,18.8,40.0
15,204,14,30,965.0370750023934,1167.4554743006277,867.8161899771889,17.3,25.7,11.2,67.6
20,5,0,17,974.0294599670369,1119.503154362383,888.107038683006,13.0,20.7,9.7,62.9
20,21,6,14,1390.3280641680524,1882.8477177863747,1231.5303418406575,26.2,34.6,12.9,75.6
20,27,18,19,1110.299267883733,1323.0010874224736,979.696445843159,16.1,25.9,13.3,62.0
20,29,5,47,1105.681176336545,1265.1132455899785,880.640236513889,12.6,30.4,25.6,41.5
20,65,2,21,1154.254776219845,1367.0340510255007,986.1581654282367,15.6,27.9,17.0,55.9
20,66,5,47,911.8513434924349,1000.1869610068992,789.5802587225903,8.8,21.1,15.5,41.9
20,67,16,17,1125.8197978296284,1265.488636326595,849.9207709355029,11.0,32.8,32.5,33.6
20,172,14,29,1001.5422061189879,1187.6754924364218,898.0786657928596,15.7,24.4,11.5,64.3
20,179,5,47,1075.3291829116574,1183.5365035327197,900.7814434327767,9.1,23.9,19.4,38.3
20,204,14,29,956.6953018799979,1167.4554743006277,867.8161899771889,18.1,25.7,10.2,70.3
25,5,24,29,988.2984320612101,1119.503154362383,888.107038683006,11.7,20.7,11.3,56.7
25,21,18,20,1474.461912275737,1882.8477177863747,1231.5303418406575,21.7,34.6,19.7,62.7
25,27,15,17,1070.2294110833534,1323.0010874224736,979.696445843159,19.1,25.9,9.2,73.6
25,29,14,16,999.5101342761902,1265.1132455899785,880.640236513889,21.0,30.4,13.5,69.1
25,65,2,23,1130.555144283556,1367.0340510255007,986.1581654282367,17.3,27.9,14.6,62.1
25,66,20,23,854.7576702466616,1000.1869610068992,789.5802587225903,14.5,21.1,8.3,69.1
25,67,23,16,1025.8218549592707,1265.488636326595,849.9207709355029,18.9,32.8,20.7,57.7
25,172,13,27,1072.0156897062589,1187.6754924364218,898.0786657928596,9.7,24.4,19.4,39.9
25,179,5,20,1013.2260164094872,1183.5365035327197,900.7814434327767,14.4,23.9,12.5,60.2
25,204,13,27,1040.9066896408667,1167.4554743006277,867.8161899771889,10.8,25.7,19.9,42.2
30,5,24,26,1020.0720513442174,1119.503154362383,888.107038683006,8.9,20.7,14.9,43.0
30,21,18,17,1723.6926361353005,1882.8477177863747,1231.5303418406575,8.5,34.6,40.0,24.4
30,27,15,16,1160.4493229227135,1323.0010874224736,979.696445843159,12.3,25.9,18.4,47.3
30,29,14,18,1053.4020333400508,1265.1132455899785,880.640236513889,16.7,30.4,19.6,55.1
30,65,2,19,1091.7872115503703,1367.0340510255007,986.1581654282367,20.1,27.9,10.7,72.3
30,66,20,23,879.0558915542406,1000.1869610068992,789.5802587225903,12.1,21.1,11.3,57.5
30,67,23,16,1149.8704285054248,1265.488636326595,849.9207709355029,9.1,32.8,35.3,27.8
30,172,13,14,1185.868593316123,1187.6754924364218,898.0786657928596,0.2,24.4,32.0,0.6
30,179,5,18,1254.9392268186944,1183.5365035327197,900.7814434327767,-6.0,23.9,39.3,-25.3
30,204,27,22,958.3291614550008,1167.4554743006277,867.8161899771889,17.9,25.7,10.4,69.8
