,Custom DQN,SARSA,No Battery Baseline,Random,SB3 DQN,SB3 PPO,SB3 A2C,SB3 QR_DQN,SB3 MASKABLE_PPO,SB3 RECURRENT_PPO,BTR C51,BTR IQN,MILP (Theoretical Optimum)
2020-02-01 05:00:00+00:00,42.5,57.5,0.0,44.210526315789465,42.5,50.0,57.49999999999999,42.5,57.49999999999999,44.210526315789465,42.5,42.5,50.0
2020-02-01 05:15:00+00:00,35.0,65.0,0.0,38.94736842105263,35.0,50.0,65.0,35.0,65.0,38.94736842105263,35.0,35.0,41.6052625
2020-02-01 05:30:00+00:00,27.5,72.5,0.0,31.44736842105263,27.500000000000004,50.0,72.5,27.500000000000004,72.5,34.210526315789465,27.500000000000004,27.500000000000004,33.7105255
2020-02-01 05:45:00+00:00,20.0,80.0,0.0,23.947368421052627,20.0,50.0,80.0,20.0,80.0,28.42105263157894,20.0,20.0,25.815788
2020-02-01 06:00:00+00:00,12.5,87.5,0.0,23.947368421052627,12.5,50.0,87.5,20.0,87.5,23.249999999999993,12.5,12.5,17.9210505
2020-02-01 06:15:00+00:00,5.000000000000002,95.0,0.0,19.386842105263153,12.5,50.0,95.0,20.0,95.0,18.689473684210515,5.000000000000001,5.000000000000001,12.749998000000001
2020-02-01 06:30:00+00:00,0.0,100.0,0.0,19.386842105263153,20.0,50.0,100.0,20.0,100.0,12.951315789473675,0.0,0.0,7.894736999999999
2020-02-01 06:45:00+00:00,0.0,100.0,0.0,11.886842105263153,27.500000000000004,50.0,100.0,20.0,100.0,6.794736842105253,0.0,0.0,0.0
2020-02-01 07:00:00+00:00,0.0,100.0,0.0,4.386842105263154,35.0,50.0,100.0,12.5,100.0,1.361842105263148,0.0,0.0,0.0
2020-02-01 07:15:00+00:00,0.0,100.0,0.0,4.386842105263154,42.5,50.0,100.0,12.5,100.0,2.7755575615628914e-16,0.0,0.0,0.0
2020-02-01 07:30:00+00:00,0.0,100.0,0.0,11.886842105263153,50.0,50.0,100.0,5.000000000000001,100.0,3.0814879110195774e-32,0.0,0.0,-5.2631580000000004e-12
2020-02-01 07:45:00+00:00,0.0,100.0,0.0,19.386842105263153,57.49999999999999,57.49999999999999,100.0,0.0,100.0,3.4211388289180104e-48,0.0,0.0,0.0
2020-02-01 08:00:00+00:00,0.0,100.0,0.0,19.386842105263153,65.0,65.0,100.0,0.0,100.0,3.7982270983039195e-64,0.0,0.0,2.05657895
2020-02-01 08:15:00+00:00,0.0,100.0,0.0,26.886842105263156,72.5,72.5,100.0,0.0,100.0,4.216879177292209e-80,0.0,0.0,0.0
2020-02-01 08:30:00+00:00,0.0,100.0,0.0,26.886842105263156,80.0,80.0,100.0,0.0,100.0,4.681676354692198e-96,0.0,0.0,5.0000000000000005e-12
2020-02-01 08:45:00+00:00,0.0,100.0,0.0,26.71447368421052,87.5,87.5,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 09:00:00+00:00,0.0,92.5,0.0,34.21447368421052,95.0,95.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 09:15:00+00:00,0.0,100.0,0.0,37.33878618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 09:30:00+00:00,0.0,100.0,0.0,29.838786184210516,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 09:45:00+00:00,0.0,100.0,0.0,37.33878618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 10:00:00+00:00,0.0,100.0,0.0,37.33878618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 10:15:00+00:00,0.0,100.0,0.0,37.33878618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 10:30:00+00:00,0.0,100.0,0.0,42.62078618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 10:45:00+00:00,0.0,92.5,0.0,42.62078618421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 11:00:00+00:00,0.0,92.5,0.0,46.312723684210525,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 11:15:00+00:00,0.0,92.5,0.0,50.072348684210525,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 11:30:00+00:00,0.0,100.0,0.0,54.85916118421052,92.5,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 11:45:00+00:00,0.0,100.0,0.0,62.35916118421052,100.0,100.0,100.0,0.0,100.0,5.19770488282245e-112,0.0,0.0,0.0
2020-02-01 12:00:00+00:00,0.0,100.0,0.0,69.85916118421052,92.5,100.0,100.0,0.0,100.0,5.770611636116085e-128,0.0,0.0,5.6976249999999995
2020-02-01 12:15:00+00:00,0.0,100.0,0.0,69.85916118421052,100.0,100.0,100.0,0.0,100.0,6.406665904585923e-144,0.0,0.0,0.0
2020-02-01 12:30:00+00:00,0.0,100.0,0.0,62.35916118421052,100.0,100.0,100.0,0.0,92.5,7.112827998352248e-160,0.0,0.0,0.0
2020-02-01 12:45:00+00:00,0.0,100.0,0.0,68.03184868421053,100.0,100.0,100.0,0.0,85.0,7.89682541396913e-176,0.0,0.0,0.0
2020-02-01 13:00:00+00:00,0.0,100.0,0.0,75.53184868421053,100.0,100.0,100.0,0.0,77.5,8.767237396033612e-192,0.0,0.0,0.0
2020-02-01 13:15:00+00:00,0.0,100.0,0.0,79.98141118421051,100.0,92.5,100.0,0.0,70.0,9.733588819431218e-208,0.0,0.0,0.0
2020-02-01 13:30:00+00:00,0.0,100.0,0.0,84.35378618421052,100.0,85.0,100.0,0.0,62.5,1.0806454419566534e-223,0.0,0.0,0.0
2020-02-01 13:45:00+00:00,0.0,100.0,0.0,84.35378618421052,100.0,85.0,100.0,0.0,62.5,1.1997574511165048e-239,0.0,0.0,0.0
2020-02-01 14:00:00+00:00,0.0,100.0,0.0,76.85378618421052,100.0,85.0,100.0,0.0,55.00000000000001,1.3319983461951343e-255,0.0,0.0,0.0
2020-02-01 14:15:00+00:00,0.0,92.5,0.0,78.84641118421051,100.0,77.5,100.0,0.0,47.5,1.4788152327084684e-271,0.0,0.0,0.0
2020-02-01 14:30:00+00:00,0.0,85.0,0.0,86.34641118421051,100.0,77.5,100.0,0.0,40.0,1.6418147205193505e-287,0.0,0.0,0.0
2020-02-01 14:45:00+00:00,0.0,85.0,0.0,86.34641118421051,100.0,77.5,100.0,0.0,32.5,1.8227805048890994e-303,0.0,0.0,0.0
2020-02-01 15:00:00+00:00,0.0,92.5,0.0,86.05167434210526,100.0,77.20526315789473,100.0,0.0,25.0,2.02567e-319,0.0,0.0,0.29473684
2020-02-01 15:15:00+00:00,0.0,92.5,0.0,86.05167434210526,100.0,76.14605263157894,100.0,0.0,17.5,0.0,0.0,0.0,0.0
